"label","label_wo_outliers","label_cluster2_kmeans5","label_cluster5_kmeans5","label_cluster4_kmeans5"
"MAP2K4","CS6","CS3","CS5","CS3","CS3"
"FLNC","CS4","CS4","CS6","CS4","CS4"
"FNTA","CS0","CS0","CS0","CS1","CS0"
"ACVR1","CS6","CS6","CS5","CS6","CS5"
"GATA2","CS5","CS5","CS5","CS5","CS6"
"PML","CS6","CS6","CS7","CS6","CS5"
"RPA2","CS0","CS0","CS0","CS0","CS0"
"STAT3","CS5","CS5","CS5","CS3","CS5"
"ARF1","CS1","CS1","CS1","CS2","CS1"
"GGA3","CS4","CS4","CS4","CS4","CS4"
"ARFIP2","CS6","CS6","CS5","CS5","CS6"
"ARF3","CS3","CS3","CS3","CS2","CS2"
"ARFIP1","CS6","CS6","CS7","CS6","CS6"
"ALDOA","CS1","CS1","CS0","CS1","CS0"
"XRN1","CS1","CS1","CS1","CS1","CS1"
"APP","CS6","CS6","CS6","CS6","CS6"
"APPBP2","CS5","CS5","CS4","CS5","CS5"
"DAB1","CS4","CS4","CS5","CS4","CS6"
"APLP1","CS4","CS4","CS4","CS3","CS4"
"TFAP2A","CS7","CS7","CS6","CS7","CS8"
"CITED2","CS3","CS3","CS3","CS3","CS3"
"EP300","CS2","CS2","CS3","CS2","CS2"
"APOB","CS5","CS5","CS5","CS5","CS5"
"MTTP","CS5","CS5","CS5","CS6","CS4"
"ARRB2","CS5","CS5","CS5","CS5","CS4"
"RALGDS","CS5","CS5","CS5","CS6","CS5"
"CSF1R","CS5","CS5","CS5","CS5","CS6"
"GRB2","CS0","CS0","CS0","CS0","CS0"
"PRRC2A","CS1","CS1","CS3","CS1","CS1"
"LSM1","CS4","CS4","CS4","CS4","CS4"
"NARS1","CS0","CS0","CS0","CS0","CS0"
"SLC4A1","CS5","CS5","CS4","CS5","CS5"
"SLC4A1AP","CS4","CS4","CS5","CS4","CS2"
"BCL3","CS7","CS7","CS7","CS6","CS7"
"BARD1","CS1","CS1","CS1","CS1","CS1"
"GIPC1","CS4","CS4","CS4","CS4","CS4"
"ADRB1","CS6","CS6","CS6","CS7","CS4"
"ATF1","CS3","CS3","CS3","CS4","CS3"
"BRCA1","CS1","CS1","CS1","CS1","CS2"
"MSH2","CS3","CS3","CS3","CS3","CS3"
"MSH6","CS6","CS6","CS6","CS5","CS4"
"ARVCF","CS7","CS7","CS5","CS7","CS7"
"CDH15","CS4","CS4","CS3","CS4","CS5"
"PCBD1","CS4","CS4","CS4","CS4","CS6"
"CACNA1C","CS5","CS5","CS5","CS6","CS4"
"CAPN1","CS4","CS4","CS4","CS4","CS4"
"PSEN2","CS5","CS5","CS6","CS5","CS5"
"CAPN3","CS6","CS6","CS6","CS5","CS4"
"TTN","CS5","CS5","CS5","CS5","CS4"
"CA8","CS5","CS5","CS4","CS5","CS5"
"ITPR1","CS4","CS4","CS4","CS4","CS3"
"CTNNB1","CS3","CS3","CS4","CS3","CS3"
"MAGI1","CS5","CS5","CS5","CS4","CS4"
"RB1","CS6","CS6","CS7","CS6","CS7"
"CUX1","CS7","CS7","CS5","CS5","CS7"
"CDKN1A","CS9","CS9","CS9","CS5","CS9"
"TSG101","CS0","CS0","CS1","CS0","CS0"
"MCM2","CS0","CS0","CS0","CS0","CS0"
"ORC1","CS0","CS0","CS0","CS0","CS0"
"ORC4","CS1","CS1","CS2","CS1","CS1"
"MCM5","CS0","CS0","CS0","CS0","CS0"
"CDC7","CS0","CS0","CS0","CS0","CS0"
"ORC2","CS3","CS3","CS4","CS3","CS4"
"DBF4","CS1","CS1","CS1","CS1","CS0"
"AKAP8","CS5","CS5","CS5","CS4","CS5"
"RPA1","CS0","CS0","CS0","CS0","CS0"
"RPA3","CS0","CS0","CS0","CS0","CS0"
"ORC5","CS1","CS1","CS1","CS1","CS3"
"MCM3","CS0","CS0","CS0","CS0","CS0"
"CDC25A","CS2","CS3","CS3","CS4","CS2"
"YWHAZ","CS1","CS1","CS1","CS1","CS1"
"CDC42","CS0","CS0","CS0","CS0","CS0"
"DOCK8","CS6","CS6","CS6","CS6","CS5"
"TRIP10","CS4","CS4","CS4","CS4","CS3"
"CDK2","CS1","CS1","CS2","CS1","CS1"
"CDKN3","CS5","CS5","CS4","CS5","CS5"
"RBL1","CS3","CS3","CS3","CS4","CS4"
"RBBP8","CS1","CS1","CS1","CS1","CS1"
"CENPB","CS4","CS4","CS4","CS5","CS4"
"HAND2","CS6","CS6","CS5","CS6","CS6"
"HGS","CS1","CS1","CS1","CS0","CS1"
"CLTC","CS0","CS0","CS0","CS0","CS0"
"COL1A1","CS4","CS4","CS4","CS3","CS4"
"IGFBP3","CS4","CS4","CS4","CS4","CS2"
"TXN","CS1","CS1","CS1","CS0","CS1"
"ATF2","CS6","CS6","CS6","CS6","CS6"
"SMAD3","CS4","CS4","CS5","CS4","CS4"
"SMAD4","CS5","CS5","CS4","CS5","CS5"
"CCND3","CS3","CS3","CS3","CS3","CS1"
"EIF3K","CS4","CS4","CS5","CS4","CS4"
