label,label_wo_outliers
MAP2K4,CS7,CS7
FLNC,CS5,CS5
FNTA,CS0,CS0
ACVR1,CS6,CS6
GATA2,CS5,CS5
PML,CS6,CS6
RPA2,CS0,CS0
STAT3,CS4,CS4
ARF1,CS2,CS2
GGA3,CS4,CS4
ARFIP2,CS6,CS6
ARF3,CS2,CS2
ARFIP1,CS5,CS5
ALDOA,CS1,CS1
XRN1,CS1,CS1
APP,CS6,CS6
APPBP2,CS5,CS5
TFAP2A,CS6,CS6
CITED2,CS4,CS4
EP300,CS4,CS4
ARRB2,CS6,CS6
RALGDS,CS5,CS5
CSF1R,CS5,CS5
GRB2,CS1,CS1
PRRC2A,CS2,CS2
LSM1,CS4,CS4
NARS1,CS0,CS0
SLC4A1,CS5,CS5
SLC4A1AP,CS4,CS4
BCL3,CS6,CS6
BARD1,CS1,CS1
GIPC1,CS4,CS4
ADRB1,CS7,CS7
ATF1,CS3,CS3
BRCA1,CS2,CS2
MSH6,CS5,CS5
ARVCF,CS5,CS5
CDH15,CS5,CS5
PCBD1,CS6,CS6
CACNA1C,CS6,CS6
CAPN1,CS4,CS4
PSEN2,CS6,CS6
CAPN3,CS5,CS5
TTN,CS5,CS5
CA8,CS4,CS4
ITPR1,CS5,CS5
CTNNB1,CS3,CS3
MAGI1,CS4,CS4
RB1,CS6,CS6
CUX1,CS7,CS7
CDKN1A,CS6,CS6
TSG101,CS0,CS0
MCM2,CS0,CS0
ORC1,CS0,CS0
ORC4,CS1,CS1
MCM5,CS0,CS0
CDC7,CS0,CS0
ORC2,CS3,CS3
DBF4,CS1,CS1
AKAP8,CS5,CS5
RPA1,CS0,CS0
RPA3,CS0,CS0
ORC5,CS1,CS1
MCM3,CS0,CS0
CDC25A,CS3,CS3
YWHAZ,CS1,CS1
CDC42,CS0,CS0
DOCK8,CS6,CS6
TRIP10,CS4,CS4
CDK2,CS1,CS1
CDKN3,CS5,CS5
RBL1,CS4,CS4
RBBP8,CS1,CS1
CENPB,CS4,CS4
